RPM,Omega_rad_s,dtmix_strict_0.95,dtmix_strict_0.75,dtmix_strict_0.5,vor_meanabs_steady_streaming,kLa_inst_10,kLa_inst_25,kLa_inst_50,kLa_exp5pts_10,kLa_exp5pts_25,kLa_exp5pts_50
37.5,0.625,33.609044417874,16.804522208937,11.203014805958,1.78493904194027,60.4443428586745,49.1463478232681,47.0826678894114,54.9303959357158,44.9737294357418,37.1316383179113
35,0.583333333,156.041991940129,90.0242261193053,45.0121130596526,1.519776981,31.2548402326302,26.5542496343076,18.2948181470856,28.4097687191938,20.6445969713702,11.4611417676982
32.5,0.541666667,184.20341652104,109.875722135358,61.401138840347,1.329545473,24.5651491469394,18.4372896099374,10.4280738428084,21.6997559891853,13.1868950385012,4.99026470953412
30,0.5,217.058411865436,136.536742947613,77.0207267909612,1.129973284,21.201394652494,15.2076596267097,7.47243701071029,19.3386989436047,9.69924829654633,3.37043058529987
27.5,0.458333333,248.248623541115,164.22601249643,91.6610302305654,0.963907653,,,,16.4446393385398,7.31835999664284,2.39116476070176
25,0.416666667,289.878008104163,193.252005402775,105.028263805856,0.823913133,15.55055654765,11.1862679358462,5.18632346031097,14.3062026354384,6.81398276718231,2.17606608420306
22.5,0.375,275.407447313134,177.381067761001,98.0263795521324,0.858369801,16.0480479906395,10.962311396562,4.05444885473574,14.5515708894531,6.08344490885941,1.53158332843727
20,0.333333333,456.872947555474,241.565006753469,126.033916567027,0.589229166,11.4735790915003,8.40374255772133,3.20768590686209,10.0563417204635,5.35330725555484,1.11551037123112
17.5,0.291666666666667,510.13728134273,276.074293432536,144.038761790889,0.490513433345468,9.41783034062656,7.37142967228315,2.9,8.52407592974503,4.96708181406207,1.09
15,0.25,661.348425685588,322.086675671292,161.043337835646,0.400647552,7.78788807428446,6.76477164675297,3.16864760015041,6.87981359163386,4.41250947624102,1.23651231109383
