RPM,Omega_rad_s,tau_liq_max,tau_liq_mean,Ediss_liq_max,Ediss_liq_mean
RPM_7deg,Omega (1/s),tau_liq_max,tau_liq_mean,Ediss_liq_max,Ediss_liq_mean
37.5,3.92699081698724,1.1418863707578,0.00313696707579757,1703.66887857254,0.767787220388586
35,3.66519142918809,0.275301675710312,0.0022087565347438,134.450456931012,0.464159746041921
32.5,3.40339204138894,0.206048869423571,0.00180260737704777,44.6076045849416,0.286547743483753
30,3.14159265358979,0.173519231111588,0.00161074825613165,34.8285622297379,0.220229625829466
27.5,2.87979326579064,0.14668371846103,0.00139238544682511,22.6817451464944,0.160985353605974
25,2.61799387799149,0.125635024925526,0.00124734613599495,17.2190949110015,0.123088067751295
22.5,2.35619449019235,0.229877018864809,0.00189596352822271,53.8687723865155,0.31313665156048
20,2.0943951023932,0.0913921256047069,0.000864028594439816,10.178372590066,0.0608506427024631
17.5,1.83259571459405,0.0954559062968,0.000765056947336855,9.43109752348698,0.0435951782868371
